,,,INJURIES_DIRECT,INJURIES_DIRECT,DEATHS_DIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_PROPERTY
,,,count_nonzero,sum,count_nonzero,sum,count_nonzero,sum,count_nonzero,sum
STATE,EVENT_TYPE,YEAR,,,,,,,,
ALABAMA,Tornado,1969,3,16,1,2,0,0,14,5930000.0
ALABAMA,Tornado,1970,2,16,1,2,0,0,10,25582530.0
ALABAMA,Tornado,1971,4,16,2,4,0,0,20,6437530.0
ALABAMA,Tornado,1972,4,95,1,4,0,0,14,887750.0
ALABAMA,Tornado,1973,24,404,5,10,0,0,38,9893090.0
ALABAMA,Tornado,1974,23,959,12,79,0,0,42,7250780.0
ALABAMA,Tornado,1975,9,142,2,2,0,0,29,2812780.0
ALABAMA,Tornado,1976,11,61,0,0,0,0,27,4247560.0
ALABAMA,Tornado,1977,8,144,2,23,0,0,18,3910280.0
ALABAMA,Tornado,1978,5,49,0,0,0,0,17,932840.0
ALABAMA,Tornado,1979,8,44,0,0,0,0,22,4550500.0
ALABAMA,Tornado,1980,5,26,0,0,0,0,22,2165500.0
ALABAMA,Tornado,1981,3,90,1,2,0,0,12,657750.0
ALABAMA,Tornado,1982,5,18,0,0,0,0,18,3615750.0
ALABAMA,Tornado,1983,11,101,2,3,0,0,28,6070530.0
ALABAMA,Tornado,1984,6,60,1,5,0,0,30,9787590.0
ALABAMA,Tornado,1985,9,31,1,1,0,0,25,1335780.0
ALABAMA,Tornado,1986,6,14,1,2,0,0,8,310250.0
ALABAMA,Tornado,1987,0,0,1,1,0,0,6,552750.0
ALABAMA,Tornado,1988,3,59,0,0,0,0,7,85000.0
ALABAMA,Tornado,1989,4,478,1,21,0,0,13,4037500.0
ALABAMA,Tornado,1990,7,74,0,0,0,0,7,305500.0
ALABAMA,Tornado,1991,3,33,1,5,0,0,2,280.0
ALABAMA,Tornado,1992,15,65,1,2,0,0,12,3360000.0
ALABAMA,Tornado,1993,2,8,0,0,0,0,3,300000.0
ALABAMA,Tornado,1994,8,264,1,22,0,0,11,3355250.0
ALABAMA,Tornado,1995,8,215,2,7,0,0,14,3360500.0
ALABAMA,Tornado,1996,9,87,3,7,0,0,7,575500.0
ALABAMA,Tornado,1997,10,47,1,1,0,0,3,252530.0
ALABAMA,Tornado,1998,5,275,2,34,0,0,19,1455340.0
ALABAMA,Tornado,1999,1,1,0,0,0,0,5,53000.0
ALABAMA,Tornado,2000,8,179,3,13,0,0,10,332810.0
ALABAMA,Tornado,2001,15,107,3,6,0,0,14,3632750.0
ALABAMA,Tornado,2002,12,131,5,13,0,0,10,630030.0
ALABAMA,Tornado,2003,3,8,0,0,0,0,3,277500.0
ALABAMA,Tornado,2004,7,13,1,1,0,0,13,3137500.0
ALABAMA,Tornado,2005,4,8,0,0,0,0,25,29035530.0
ALABAMA,Tornado,2006,5,13,1,1,0,0,16,433310.0
ALABAMA,Tornado,2007,7,66,2,10,0,0,8,50555000.0
ALABAMA,Tornado,2008,7,105,3,6,0,0,25,16732750.0
ALABAMA,Tornado,2009,6,25,1,1,0,0,20,26955280.0
ALABAMA,Tornado,2010,5,53,0,0,1,1,11,33327500.0
ALABAMA,Tornado,2011,35,2113,28,245,2,9,51,5637750.0
ALABAMA,Tornado,2012,5,82,3,3,0,0,5,282500.0
ALABAMA,Tornado,2013,4,12,0,0,0,0,5,2552750.0
ALABAMA,Tornado,2014,10,73,1,2,0,0,12,2885030.0
ALABAMA,Tornado,2015,2,8,0,0,0,0,9,1032750.0
ALABAMA,Tornado,2016,6,18,2,4,0,0,22,3558030.0
ALABAMA,Tornado,2017,4,14,0,0,0,0,13,810780.0
ALABAMA,Tornado,2018,3,10,0,0,0,0,13,320280.0
ALABAMA,Tornado,2019,6,101,2,25,0,0,20,9583030.0
ALABAMA,Tornado,2020,4,14,3,5,0,0,14,730250.0
ALABAMA,Tornado,2021,14,90,2,7,0,0,20,1892750.0
ALABAMA,Tornado,2022,4,11,1,1,0,0,21,13392530.0
ALABAMA,Winter Storm,1996,0,0,0,0,0,0,35,7388090.0
ALABAMA,Winter Storm,1997,0,0,0,0,0,0,3,52500.0
ALABAMA,Winter Storm,1998,0,0,0,0,0,0,0,0.0
ALABAMA,Winter Storm,1999,0,0,0,0,0,0,1,25000.0
ALABAMA,Winter Storm,2000,0,0,0,0,0,0,9,130500.0
ALABAMA,Winter Storm,2001,0,0,0,0,0,0,6,5527500.0
ALABAMA,Winter Storm,2002,0,0,0,0,0,0,10,557590.0
ALABAMA,Winter Storm,2004,0,0,0,0,0,0,2,60.0
ALABAMA,Winter Storm,2005,0,0,0,0,0,0,0,0.0
ALABAMA,Winter Storm,2006,0,0,0,0,0,0,0,0.0
ALABAMA,Winter Storm,2008,0,0,0,0,0,0,0,0.0
ALABAMA,Winter Storm,2010,1,2,1,2,0,0,9,7802780.0
ALABAMA,Winter Storm,2011,0,0,0,0,0,0,4,2777500.0
ALABAMA,Winter Storm,2014,0,0,1,1,5,7,5,282500.0
ALABAMA,Winter Storm,2015,0,0,0,0,0,0,4,252775000.0
ALABAMA,Winter Storm,2017,0,0,0,0,0,0,6,327750.0
ALABAMA,Winter Storm,2018,0,0,0,0,0,0,5,2777750.0
ALABAMA,Winter Storm,2021,0,0,0,0,0,0,5,2600000.0
ALABAMA,Winter Storm,2022,0,0,0,0,0,0,3,52500.0
ALABAMA,Winter Weather,1996,0,0,0,0,0,0,0,0.0
ALABAMA,Winter Weather,2005,0,0,0,0,0,0,1,25000.0
ALABAMA,Winter Weather,2008,0,0,0,0,0,0,4,302500.0
ALABAMA,Winter Weather,2009,0,0,0,0,0,0,1,25000.0
ALABAMA,Winter Weather,2010,0,0,0,0,5,6,32,10033120.0
ALABAMA,Winter Weather,2011,0,0,0,0,0,0,9,627750.0
ALABAMA,Winter Weather,2012,0,0,0,0,0,0,2,275000.0
ALABAMA,Winter Weather,2013,0,0,0,0,0,0,7,377500.0
ALABAMA,Winter Weather,2014,0,0,0,0,1,1,6,25035000.0
ALABAMA,Winter Weather,2015,0,0,0,0,0,0,20,3398000.0
ALABAMA,Winter Weather,2016,0,0,0,0,0,0,4,75030.0
ALABAMA,Winter Weather,2017,0,0,0,0,0,0,3,27530.0
ALABAMA,Winter Weather,2018,0,0,0,0,0,0,9,1055030.0
ALABAMA,Winter Weather,2019,0,0,0,0,0,0,4,527500.0
ALABAMA,Winter Weather,2020,0,0,0,0,0,0,0,0.0
ALABAMA,Winter Weather,2021,0,0,0,0,0,0,8,82560.0
ALABAMA,Winter Weather,2022,0,0,0,0,0,0,5,325030.0
ALASKA,Drought,1996,0,0,0,0,0,0,0,0.0
ALASKA,Drought,1997,0,0,0,0,0,0,0,0.0
ALASKA,Flash Flood,1997,0,0,0,0,0,0,0,0.0
ALASKA,Flash Flood,1998,0,0,0,0,0,0,0,0.0
ALASKA,Flash Flood,1999,0,0,0,0,0,0,2,27500.0
ALASKA,Flash Flood,2000,0,0,0,0,0,0,0,0.0
ALASKA,Flash Flood,2001,0,0,0,0,0,0,0,0.0
ALASKA,Flash Flood,2002,0,0,1,3,0,0,2,50000000.0
ALASKA,Flash Flood,2003,0,0,0,0,0,0,0,0.0
ALASKA,Flash Flood,2008,0,0,0,0,0,0,0,0.0
ALASKA,Flash Flood,2010,0,0,0,0,0,0,0,0.0
ALASKA,Flash Flood,2015,0,0,1,3,0,0,0,0.0
ALASKA,Flash Flood,2022,0,0,0,0,0,0,0,0.0
ALASKA,Flood,1996,0,0,0,0,0,0,0,0.0
ALASKA,Flood,1997,0,0,0,0,0,0,1,250000.0
ALASKA,Flood,1998,0,0,0,0,0,0,2,25250000.0
ALASKA,Flood,1999,0,0,0,0,0,0,1,30.0
